pos.TSS	pos.TES	nb.TSS	nb.TES	RNA-seq	coverage
Pa_3_2225.G	NA	NA	NA	NA	NA	NA
Pa_3_2230.G	1401296	1400510	1	1	ERR2224048	250
Pa_3_2250.G	NA	NA	NA	NA	NA	NA
Pa_3_2260.G	NA	NA	NA	NA	NA	NA
Pa_3_2270.G	1410263	1405952	1	1	ERR2224051	50
Pa_3_2280.G	1412643;1412698;1412585	1410891;1410916;1410661	3	3	SRR6960209;SRR6960219;SRR6960225	250
Pa_3_2290.G	NA	NA	NA	NA	NA	NA
Pa_3_2300.G	NA	NA	NA	NA	NA	NA
Pa_3_2310.G	1424487	1422191	1	1	SRR3197704	250
Pa_3_2320.G	NA	NA	NA	NA	NA	NA
Pa_3_2330.G	1432841;1432778;1432867;1432778;1432817;1432825;1432788;1432778;1432815;1432758	1431367;1431277;1431277;1431277;1431303;1431402;1431279;1431371;1431406;1431407	8	8	SRR6960209;SRR6960212;SRR6960215;SRR6960217;SRR6960218;SRR6960219;SRR6960221;SRR6960222;SRR6960223;SRR6960225	25
Pa_3_2340.G	1432989	1434145	1	1	ERR2224050	100
Pa_3_2350.G	1436320;1436349	1434575;1434569	2	2	SRR3197700;SRR3197709	50
Pa_3_2360.G	1436508	1437864	1	1	ERR2224050	250
Pa_3_2370.G	1444666;1444714;1444677	1438291;1438264;1438406	3	3	SRR6960214;SRR6960217;SRR6960222	500
Pa_3_2390.G	NA	NA	NA	NA	NA	NA
Pa_3_2400.G	NA	NA	NA	NA	NA	NA
Pa_3_2410.G	NA	NA	NA	NA	NA	NA
Pa_3_2420.G	1459127;1459091;1459688;1456690	1463644;1463418;1463372;1463361	4	4	SRR3197709;SRR6960208;SRR6960212;SRR6960222	50
Pa_3_2430.G	1463870;1463891;1463911	1464567;1464669;1464651	3	3	ERR2224050;SRR3197709;SRR6960213	10
Pa_3_2440.G	NA	NA	NA	NA	NA	NA
Pa_3_2450.G	NA	NA	NA	NA	NA	NA
Pa_3_2460.G	1470286;1469944;1470029	1471797;1471788;1471998	3	3	ERR2224051;SRR3197708;SRR3197709	100
Pa_3_2470.G	1475488	1478845	1	1	SRR3197704	50
Pa_3_2490.G	1479311	1482545	1	1	ERR2224049	25
Pa_3_2500.G	NA	NA	NA	NA	NA	NA
Pa_3_2510.G	1490148;1492021	1493422;1493336	2	2	SRR3197708;SRR6960219	50
Pa_3_2520.G	1493633;1493726;1493659;1493686;1493614;1493685	1494283;1494278;1494278;1494278;1494277;1494277	6	3	ERR2224048;SRR6960208;SRR6960214;SRR6960216;SRR6960217;SRR6960222	2500
Pa_3_2530.G	1495031;1495029;1495024;1495007	1494317;1494320;1494315;1494312	4	4	SRR3197700;SRR3197709;SRR6960219;SRR6960221	250
Pa_3_2540.G	1496087;1496277;1496462	1498094;1497882;1497978	3	3	SRR3197703;SRR3197706;SRR6960217	10
Pa_3_2550.G	NA	NA	NA	NA	NA	NA
Pa_3_2555.G	NA	NA	NA	NA	NA	NA
Pa_3_2560.G	NA	NA	NA	NA	NA	NA
Pa_3_2570.G	1505849;1505836;1505904;1506021;1506053;1506029;1505886;1505979	1508442;1508422;1508352;1508458;1508475;1508459;1508458;1508486	8	7	ERR2224048;ERR2224051;SRR6960208;SRR6960212;SRR6960215;SRR6960217;SRR6960222;SRR6960225	100
Pa_3_2580.G	NA	NA	NA	NA	NA	NA
Pa_3_2585.G	NA	NA	NA	NA	NA	NA
Pa_3_2590.G	1514204	1518628	1	1	ERR2224050	100
Pa_3_2600.G	NA	NA	NA	NA	NA	NA
Pa_3_2610.G	1526582	1523830	1	1	SRR3197708	50
Pa_3_2620.G	1529838	1526804	1	1	ERR2224048	75
Pa_3_2630.G	NA	NA	NA	NA	NA	NA
Pa_3_2640.G	NA	NA	NA	NA	NA	NA
Pa_3_2650.G	1533295;1533442;1533443;1533447	1534137;1534181;1534147;1534191	4	4	SRR3197709;SRR6960217;SRR6960223;SRR6960225	50
Pa_3_2660.G	NA	NA	NA	NA	NA	NA
Pa_3_2670.G	1537255;1539108;1539115	1540910;1540937;1540973	3	3	ERR2224051;SRR3197708;SRR6960215	50
Pa_3_2680.G	NA	NA	NA	NA	NA	NA
Pa_3_2687.G	NA	NA	NA	NA	NA	NA
Pa_3_2688.G	NA	NA	NA	NA	NA	NA
Pa_3_2690.G	1550330	1552119	1	1	ERR2224049	50
Pa_3_2700.G	1553177	1551990	1	1	SRR3197708	50
Pa_3_2710.G	NA	NA	NA	NA	NA	NA
Pa_3_2720.G	1559892;1560022;1559984	1561547;1561513;1561551	3	3	ERR2224048;SRR3197711;SRR6960217	10
Pa_3_2730.G	NA	NA	NA	NA	NA	NA
Pa_3_2740.G	1564190;1564226	1565777;1565465	2	2	SRR6960209;SRR6960221	25
Pa_3_2742.G	NA	NA	NA	NA	NA	NA
Pa_3_2745.G	1566809	1569111	1	1	SRR6960215	25
Pa_3_2748.G	NA	NA	NA	NA	NA	NA
Pa_3_2750.G	1576467	1574462	1	1	ERR2224048	50
Pa_3_2760.G	NA	NA	NA	NA	NA	NA
Pa_3_2770.G	1588127	1587164	1	1	ERR2224051	750
Pa_3_2780.G	1588534	1590160	1	1	ERR2224048	50
Pa_3_2790.G	NA	NA	NA	NA	NA	NA
Pa_3_2810.G	1599037	1596051	1	1	SRR6960219	75
Pa_3_2811.G	1601063	1599345	1	1	SRR6960222	10
Pa_3_2815.G	1601941	1602822	1	1	ERR2224048	10
Pa_3_2820.G	1603092;1603099	1603904;1603904	2	1	SRR6960214;SRR6960215	50
Pa_3_2829.G	NA	NA	NA	NA	NA	NA
Pa_3_2830.G	NA	NA	NA	NA	NA	NA
Pa_3_2835.G	NA	NA	NA	NA	NA	NA
Pa_3_2840.G	1618025	1615910	1	1	ERR2224051	25
Pa_3_2850.G	1618928	1620254	1	1	ERR2224050	100
Pa_3_2851.G	NA	NA	NA	NA	NA	NA
Pa_3_2855.G	1623859	1624984	1	1	ERR2224050	25
Pa_3_2860.G	1626352;1626326	1627985;1627967	2	2	SRR3197710;SRR3197711	100
Pa_3_2870.G	1628652	1630305	1	1	SRR6960219	500
Pa_3_2880.G	1630790;1630510;1630889;1630543	1631516;1631512;1631512;1631512	4	2	SRR3197702;SRR3197705;SRR3197706;SRR3197709	100
Pa_3_2890.G	1634378;1634450;1634351	1632557;1632587;1632580	3	3	ERR2224051;SRR3197702;SRR3197703	25
Pa_3_2900.G	1637268	1635274	1	1	ERR2224049	10
Pa_3_2910.G	1638029	1641760	1	1	ERR2224048	25
Pa_3_2920.G	1646419;1645791	1644759;1644782	2	2	SRR3197704;SRR3197709	1000
Pa_3_2930.G	NA	NA	NA	NA	NA	NA
Pa_3_2933.G	NA	NA	NA	NA	NA	NA
Pa_3_2936.G	NA	NA	NA	NA	NA	NA
Pa_3_2938.G	NA	NA	NA	NA	NA	NA
Pa_3_2940.G	1655976	1653834	1	1	SRR6960215	250
Pa_3_2950.G	1657628	1659566	1	1	SRR6960222	25
Pa_3_2955.G	NA	NA	NA	NA	NA	NA
Pa_3_2960.G	1670384	1667124	1	1	ERR2224046	250
Pa_3_2970.G	1673887;1673751;1673692;1673678;1673715	1671964;1671959;1671905;1671902;1671965	5	5	SRR6960212;SRR6960216;SRR6960217;SRR6960222;SRR6960225	250
Pa_3_2980.G	NA	NA	NA	NA	NA	NA
Pa_3_2987.G	1679596;1679588	1678863;1678760	2	2	ERR2224048;SRR6960207	50
Pa_3_2992.G	1680435	1679678	1	1	ERR2224048	10
Pa_3_3000.G	1688056;1688039;1688039;1688022;1688045	1684913;1684918;1684912;1684913;1684912	4	3	SRR3197702;SRR3197703;SRR3197704;SRR3197709;SRR3197710	10
Pa_3_3010.G	NA	NA	NA	NA	NA	NA
Pa_3_3015.G	1689603;1689577	1690977;1690999	2	2	SRR6960208;SRR6960210	10
Pa_3_3020.G	NA	NA	NA	NA	NA	NA
Pa_3_3030.G	NA	NA	NA	NA	NA	NA
Pa_3_3040.G	1698314;1698414	1700097;1700098	2	2	SRR3197704;SRR3197710	75
Pa_3_3050.G	1702346	1700829	1	1	ERR2224050	100
Pa_3_3060.G	1702933;1702990;1702980;1702986	1704121;1704247;1704232;1704263	4	4	ERR2224047;SRR3197701;SRR3197710;SRR6960212	10
Pa_3_3065.G	1704156	1705601	1	1	ERR2224048	50
Pa_3_3070.G	1707073;1707048;1707062;1707056	1705785;1705780;1705780;1705787	4	3	SRR3197704;SRR3197705;SRR3197708;SRR3197710	750
Pa_3_3080.G	1708643	1707580	1	1	ERR2224050	100
Pa_3_3090.G	1709530;1709463;1709374;1709445;1709487;1709482;1709457	1708978;1708890;1708887;1708891;1708887;1708887;1708888	7	5	ERR2224048;SRR3197702;SRR3197703;SRR3197704;SRR3197705;SRR3197709;SRR3197710	500
Pa_3_3097.G	1714124;1714168;1714253	1715528;1715288;1715536	3	3	ERR2224046;SRR6960209;SRR6960210	100
Pa_3_3100.G	1720584;1720593;1720593;1720575;1720576;1720576;1720590;1720501;1720534;1720546;1720576	1715717;1715712;1715725;1715727;1715646;1715707;1715707;1715617;1715707;1715707;1715707	8	7	ERR2224047;ERR2224048;ERR2224050;ERR2224051;SRR3197709;SRR3197710;SRR6960209;SRR6960213;SRR6960217;SRR6960221;SRR6960222	25
Pa_3_3110.G	1722345;1722386;1722418;1722381;1722411;1722402;1722391;1722393;1722381	1724628;1724101;1724105;1724660;1724631;1724631;1724628;1724672;1724627	8	7	SRR3197710;SRR6960212;SRR6960213;SRR6960215;SRR6960218;SRR6960219;SRR6960222;SRR6960223;SRR6960225	100
Pa_3_3120.G	1725911;1725933;1725896	1724650;1724661;1724654	3	3	SRR6960208;SRR6960210;SRR6960212	10
Pa_3_3130.G	1731459	1736061	1	1	ERR2224050	250
Pa_3_3140.G	1738093;1738085;1738097;1738074;1738078;1738059	1736523;1736476;1736508;1736475;1736417;1736521	6	6	ERR2224050;SRR3197704;SRR3197710;SRR6960217;SRR6960219;SRR6960221	250
Pa_3_3150.G	1738401;1738402	1740425;1740416	2	2	SRR6960219;SRR6960221	50
Pa_3_3160.G	1742596	1740397	1	1	ERR2224048	250
Pa_3_3165.G	1744067	1743353	1	1	ERR2224051	20000
Pa_3_3170.G	1746664;1746650;1746616;1746643;1746651;1746627	1744522;1744528;1744476;1744548;1744467;1744515	6	6	ERR2224051;SRR3197710;SRR6960209;SRR6960217;SRR6960219;SRR6960222	25
Pa_3_3180.G	NA	NA	NA	NA	NA	NA
Pa_3_3190.G	1755720;1755602;1754918;1754495;1754109;1755230;1754992;1755521	1751971;1751946;1751951;1751951;1751946;1751956;1751946;1751952	8	5	ERR2224047;SRR3197710;SRR6960208;SRR6960210;SRR6960214;SRR6960215;SRR6960217;SRR6960222	25
Pa_3_3200.G	1758661	1755738	1	1	ERR2224050	500
Pa_3_3210.G	1763565;1763562	1760024;1760063	2	2	SRR3197702;SRR3197703	100
Pa_3_3220.G	1766422;1766114	1763725;1764442	2	2	ERR2224048;SRR3197702	50
Pa_3_3230.G	1768507;1768484	1767277;1767354	2	2	SRR3197703;SRR3197706	1000
Pa_3_3240.G	1770122;1770025;1769946	1768899;1768919;1768899	3	2	SRR3197703;SRR3197705;SRR3197710	25
Pa_3_3250.G	1770530	1772127	1	1	SRR3197702	250
Pa_3_3255.G	NA	NA	NA	NA	NA	NA
Pa_3_3260.G	1776595;1776608;1776633;1776636	1773799;1773982;1774024;1774033	4	4	SRR6960208;SRR6960214;SRR6960222;SRR6960225	10
Pa_3_3270.G	1776783;1776760	1779395;1779513	2	2	ERR2224047;SRR6960223	25
Pa_3_3275.G	NA	NA	NA	NA	NA	NA
Pa_3_3280.G	NA	NA	NA	NA	NA	NA
Pa_3_3290.G	NA	NA	NA	NA	NA	NA
Pa_3_3300.G	1786541;1786558	1790060;1790063	2	2	SRR3197701;SRR6960219	10
Pa_3_3310.G	1792210	1790210	1	1	SRR6960217	75
Pa_3_3320.G	NA	NA	NA	NA	NA	NA
Pa_3_3330.G	1806128	1799616	1	1	ERR2224051	250
Pa_3_3340.G	1808201;1808212;1808212;1808235;1808406;1808312;1808251;1808313;1808298;1808258;1808407	1814552;1814477;1814477;1814489;1814558;1814495;1814537;1814562;1814522;1814481;1814535	10	10	ERR2224047;ERR2224050;ERR2224051;SRR3197710;SRR6960209;SRR6960213;SRR6960217;SRR6960219;SRR6960221;SRR6960222;SRR6960223	100
Pa_3_3350.G	NA	NA	NA	NA	NA	NA
Pa_3_3355.G	1818861;1818870	1817716;1817669	2	2	ERR2224048;ERR2224050	100
Pa_3_3360.G	1821388;1821381;1821349	1819339;1819339;1819338	3	2	SRR6960209;SRR6960219;SRR6960221	100
Pa_3_3370.G	1821859;1821984	1824331;1824322	2	2	SRR6960209;SRR6960219	250
Pa_3_3380.G	1824332	1825863	1	1	ERR2224051	75
Pa_3_3390.G	1835678	1832594	1	1	SRR6960214	500
Pa_3_3400.G	1836853;1836427;1836799	1838221;1838198;1838262	3	3	SRR6960207;SRR6960219;SRR6960223	50
Pa_3_3405.G	NA	NA	NA	NA	NA	NA
Pa_3_3410.G	NA	NA	NA	NA	NA	NA
Pa_3_3420.G	1846259;1846056;1846204;1846177	1844657;1844467;1844533;1844542	4	4	ERR2224051;SRR6960209;SRR6960219;SRR6960221	500
Pa_3_3430.G	1850993	1846697	1	1	SRR3197710	25
Pa_3_3440.G	1852247;1852394	1854331;1854381	2	2	SRR3197702;SRR3197703	25
Pa_3_3450.G	1855368	1857563	1	1	SRR6960221	10
Pa_3_3470.G	1858484	1857523	1	1	ERR2224050	1000
Pa_3_3480.G	1862132	1859026	1	1	SRR3197710	100
Pa_3_3490.G	1864101	1863106	1	1	ERR2224050	250
Pa_3_3500.G	1864275	1865982	1	1	ERR2224051	1000
Pa_3_3510.G	1866356	1867825	1	1	SRR6960214	100
Pa_3_3520.G	1870303	1867849	1	1	ERR2224051	25
Pa_3_3530.G	NA	NA	NA	NA	NA	NA
Pa_3_3540.G	1877950	1876328	1	1	ERR2224051	50
Pa_3_3550.G	1879703	1878169	1	1	SRR3197709	750
Pa_3_3570.G	1882423;1882323	1886831;1886753	2	2	SRR6960208;SRR6960215	75
Pa_3_3580.G	NA	NA	NA	NA	NA	NA
Pa_3_3590.G	1889454	1888788	1	1	SRR3197710	15000
Pa_3_3600.G	1890203	1893966	1	1	ERR2224050	500
Pa_3_3610.G	1897695	1894132	1	1	ERR2224051	100
Pa_3_3630.G	NA	NA	NA	NA	NA	NA
Pa_3_3640.G	1902513	1900946	1	1	SRR3197704	500
Pa_3_3650.G	1906310;1906327;1906222	1903409;1903428;1902961	3	3	ERR2224046;ERR2224050;ERR2224051	250
Pa_3_3660.G	NA	NA	NA	NA	NA	NA
Pa_3_3670.G	NA	NA	NA	NA	NA	NA
Pa_3_3680.G	1915218;1915494	1917476;1917501	2	2	ERR2224048;SRR6960220	50
Pa_3_3690.G	1921639;1921646;1921656;1921639;1921634;1921643	1918104;1918087;1918097;1918092;1918102;1918157	5	6	SRR3197704;SRR3197705;SRR3197708;SRR3197709;SRR3197710;SRR3197711	250
Pa_3_3700.G	1923182	1922236	1	1	ERR2224047	250
Pa_3_3710.G	1930834;1930817;1930801	1935077;1935058;1935087	3	3	SRR6960219;SRR6960223;SRR6960225	100
Pa_3_3720.G	NA	NA	NA	NA	NA	NA
Pa_3_3740.G	1940951	1938289	1	1	SRR3197705	25
Pa_3_3750.G	1946281	1941888	1	1	SRR6960219	50
Pa_3_3760.G	1950984	1952015	1	1	ERR2224051	100
Pa_3_3765.G	1952484	1954962	1	1	SRR3197704	75
Pa_3_3770.G	1956072;1956071	1958548;1958411	2	2	SRR6960213;SRR6960218	7500
Pa_3_3780.G	1959415	1958555	1	1	SRR6960221	50
Pa_3_3790.G	1959630;1959709	1961131;1961128	2	2	ERR2224051;SRR6960221	25
Pa_3_3800.G	1964715;1964377;1964640	1961552;1961552;1961550	3	2	ERR2224047;ERR2224048;SRR6960217	100
Pa_3_3810.G	1965148;1965410;1965224;1965995	1969574;1969577;1969569;1969510	4	4	SRR3197704;SRR3197705;SRR3197709;SRR3197711	75
Pa_3_3820.G	1976181	1971212	1	1	ERR2224051	100
Pa_3_3830.G	1978974;1979000;1978981	1979967;1980128;1979848	3	3	ERR2224051;SRR6960219;SRR6960221	750
Pa_3_3840.G	1981017;1981007;1981002;1981006;1981008;1981024;1980986;1981007;1980968;1980968;1980968;1980957;1980968;1980968;1980968	1980093;1980093;1980067;1980181;1980180;1980068;1980068;1980181;1980148;1980136;1980146;1980132;1980141;1980166;1980027	9	12	ERR2224050;ERR2224051;SRR3197700;SRR3197704;SRR3197705;SRR3197708;SRR3197709;SRR3197710;SRR6960209;SRR6960217;SRR6960219;SRR6960221;SRR6960222;SRR6960223;SRR6960225	250
Pa_3_3850.G	1981517	1983319	1	1	ERR2224051	500
Pa_3_3860.G	1986148	1983754	1	1	ERR2224050	750
Pa_3_3870.G	1986498	1987776	1	1	ERR2224050	250
Pa_3_3880.G	1992467;1992463;1992091	1989676;1989747;1989736	3	3	SRR3197702;SRR3197703;SRR3197706	100
Pa_3_3890.G	1996661	1994845	1	1	SRR3197710	100
Pa_3_3900.G	1999232	1997137	1	1	SRR6960220	100
Pa_3_3910.G	2004265	2001622	1	1	ERR2224048	100
Pa_3_3920.G	2008429;2007988;2008018	2006182;2006419;2006771	3	3	ERR2224048;SRR3197709;SRR6960209	25
Pa_3_3930.G	NA	NA	NA	NA	NA	NA
Pa_3_3940.G	2014985	2012750	1	1	ERR2224050	100
Pa_3_3950.G	NA	NA	NA	NA	NA	NA
Pa_3_3960.G	2020709	2017843	1	1	SRR3197702	25
Pa_3_3970.G	2022722;2022621	2021798;2021801	2	2	ERR2224050;ERR2224051	500
Pa_3_3980.G	2022966;2022928	2023922;2023915	2	2	SRR6960216;SRR6960219	25
Pa_3_3990.G	2025297;2025329;2025167;2025182	2023834;2023829;2023834;2023829	4	2	SRR6960207;SRR6960208;SRR6960213;SRR6960218	100
Pa_3_4000.G	2025866	2027421	1	1	ERR2224051	100
Pa_3_4010.G	2028229	2031346	1	1	SRR6960208	50
Pa_3_4020.G	NA	NA	NA	NA	NA	NA
Pa_3_4030.G	2038056	2034827	1	1	ERR2224050	500
Pa_3_4040.G	2040469	2038207	1	1	SRR6960217	25
Pa_3_4050.G	2041040;2041224;2041105;2041115;2041136;2041096;2041095	2044344;2044285;2044302;2044299;2044302;2044292;2044302	7	5	ERR2224049;ERR2224050;SRR6960209;SRR6960217;SRR6960219;SRR6960221;SRR6960222	100
Pa_3_4055.G	NA	NA	NA	NA	NA	NA
Pa_3_4060.G	2054527;2054546;2054549;2054519;2054508	2053079;2053079;2053064;2053030;2052952	5	4	SRR3197700;SRR3197709;SRR3197710;SRR6960213;SRR6960225	50
Pa_3_4070.G	2058898;2058762;2058838;2058983	2055398;2055398;2055398;2055398	4	1	SRR6960208;SRR6960210;SRR6960212;SRR6960217	100
Pa_3_4080.G	2061501	2063721	1	1	SRR6960215	10
Pa_3_4090.G	NA	NA	NA	NA	NA	NA
Pa_3_4100.G	2066777;2066746;2066745;2066746;2066731;2066738;2066738;2066728;2066737	2065674;2065617;2065620;2065603;2065601;2065613;2065617;2065617;2065615	7	7	ERR2224046;SRR3197701;SRR3197704;SRR3197705;SRR6960209;SRR6960213;SRR6960218;SRR6960219;SRR6960225	250
Pa_3_4110.G	2066919	2068440	1	1	SRR6960217	50
Pa_3_4120.G	2075830	2071724	1	1	ERR2224047	75
Pa_3_4130.G	NA	NA	NA	NA	NA	NA
Pa_3_4140.G	2082749;2082804	2084026;2084026	2	1	SRR6960223;SRR6960225	50
Pa_3_4150.G	2084839	2084012	1	1	ERR2224048	25
Pa_3_4155.G	NA	NA	NA	NA	NA	NA
Pa_3_4160.G	2087221	2085871	1	1	SRR6960221	75
Pa_3_4170.G	2087508;2087512;2087520;2087533;2087547	2091397;2091451;2091469;2091452;2091454	5	5	ERR2224050;ERR2224051;SRR3197703;SRR3197704;SRR3197705	100
Pa_3_4180.G	NA	NA	NA	NA	NA	NA
Pa_3_4190.G	2100421	2102468	1	1	ERR2224050	1000
Pa_3_4200.G	2106647;2106870;2106841;2106855;2106839;2106842	2104594;2104586;2104742;2104717;2104742;2104744	6	5	ERR2224050;ERR2224051;SRR6960209;SRR6960217;SRR6960219;SRR6960221	250
Pa_3_4210.G	NA	NA	NA	NA	NA	NA
Pa_3_4220.G	NA	NA	NA	NA	NA	NA
Pa_3_4230.G	2108500	2109019	1	1	ERR2224050	100
Pa_3_4240.G	2114017;2113863;2113939	2109117;2109027;2109035	3	3	ERR2224051;SRR6960217;SRR6960218	100
Pa_3_4250.G	2129745;2129716	2125261;2125260	2	2	ERR2224046;ERR2224050	25
Pa_3_4260.G	NA	NA	NA	NA	NA	NA
Pa_3_4270.G	2136699;2136695	2134036;2133973	2	2	ERR2224050;SRR3197701	250
Pa_3_4280.G	2137216	2138162	1	1	SRR3197701	250
Pa_3_4290.G	2139950	2138049	1	1	SRR6960217	100
Pa_3_4300.G	2140963;2140944;2141022;2140930;2140969;2140925;2140939	2142927;2142940;2143117;2143031;2142972;2142973;2142979	7	7	ERR2224047;ERR2224051;SRR6960215;SRR6960217;SRR6960222;SRR6960223;SRR6960225	100
Pa_3_4310.G	2144989	2142824	1	1	SRR6960216	25
Pa_3_4320.G	2147248	2151992	1	1	SRR6960218	10
Pa_3_4340.G	2153593	2152227	1	1	SRR3197710	750
Pa_3_4350.G	NA	NA	NA	NA	NA	NA
Pa_3_4360.G	NA	NA	NA	NA	NA	NA
Pa_3_4370.G	2159942	2164731	1	1	SRR6960212	10
Pa_3_4380.G	2165302	2169065	1	1	ERR2224050	500
Pa_3_4390.G	NA	NA	NA	NA	NA	NA
Pa_3_4400.G	2172406;2172386	2173561;2173561	2	1	SRR6960217;SRR6960222	50
Pa_3_4410.G	NA	NA	NA	NA	NA	NA
Pa_3_4420.G	2179048	2180967	1	1	ERR2224050	250
Pa_3_4430.G	2181546;2181529	2182618;2182618	2	1	SRR6960212;SRR6960213	75
Pa_3_4435.G	2183755	2182473	1	1	SRR6960216	50
Pa_3_4440.G	NA	NA	NA	NA	NA	NA
Pa_3_4450.G	NA	NA	NA	NA	NA	NA
Pa_3_4460.G	2189381	2187972	1	1	ERR2224050	5000
Pa_3_4470.G	2189950	2192338	1	1	ERR2224047	25
Pa_3_4480.G	2193941;2193891;2193874;2193886	2197079;2197873;2197053;2197067	4	4	ERR2224047;SRR6960216;SRR6960217;SRR6960222	100
Pa_3_4490.G	2198151;2198160	2201355;2201639	2	2	ERR2224050;SRR3197701	250
Pa_3_4500.G	NA	NA	NA	NA	NA	NA
Pa_3_4510.G	2211354	2210194	1	1	ERR2224050	250
Pa_3_4520.G	NA	NA	NA	NA	NA	NA
Pa_3_4527.G	NA	NA	NA	NA	NA	NA
Pa_3_4530.G	2224343;2224418	2223702;2223764	2	2	ERR2224048;SRR6960225	500
Pa_3_4540.G	2224952	2227858	1	1	ERR2224051	100
Pa_3_4545.G	NA	NA	NA	NA	NA	NA
Pa_3_4550.G	2233552	2231154	1	1	ERR2224050	50
Pa_3_4560.G	NA	NA	NA	NA	NA	NA
Pa_3_4570.G	NA	NA	NA	NA	NA	NA
Pa_3_4575.G	2244895;2244570	2240870;2241356	2	2	ERR2224050;SRR6960214	10
Pa_3_4580.G	2247759	2244904	1	1	ERR2224050	50
Pa_3_4590.G	2248412	2249938	1	1	ERR2224051	100
Pa_3_4600.G	NA	NA	NA	NA	NA	NA
Pa_3_4610.G	2257561	2255117	1	1	ERR2224050	250
Pa_3_4620.G	2258278;2258264	2260982;2261019	2	2	ERR2224048;ERR2224050	100
Pa_3_4630.G	2263517	2261802	1	1	SRR3197710	750
Pa_3_4640.G	2265588	2266869	1	1	ERR2224050	50
Pa_3_4645.G	2269295	2267133	1	1	SRR6960222	10
Pa_3_4650.G	2271340	2275572	1	1	SRR3197702	750
Pa_3_4660.G	2278050	2275989	1	1	ERR2224048	250
Pa_3_4670.G	2278520	2280658	1	1	ERR2224050	50
Pa_3_4680.G	NA	NA	NA	NA	NA	NA
Pa_3_4690.G	2282838	2282230	1	1	ERR2224050	500
Pa_3_4700.G	NA	NA	NA	NA	NA	NA
Pa_3_4710.G	2290947;2290927	2289824;2289981	2	2	ERR2224050;ERR2224051	100
Pa_3_4720.G	NA	NA	NA	NA	NA	NA
Pa_3_4730.G	2293861	2293097	1	1	ERR2224048	75
Pa_3_4735.G	2295359	2294086	1	1	SRR3197711	10
Pa_3_4740.G	2296256;2296205	2295481;2295492	2	2	ERR2224050;ERR2224051	1000
Pa_3_4750.G	2296424;2296478;2296470	2298326;2298380;2298362	3	3	SRR6960209;SRR6960214;SRR6960225	10
Pa_3_4760.G	2301254	2298299	1	1	SRR6960212	10
Pa_3_4770.G	2302683;2302761;2302758;2302691	2306784;2306885;2306750;2306898	4	4	ERR2224047;SRR6960211;SRR6960217;SRR6960225	100
Pa_3_4775.G	NA	NA	NA	NA	NA	NA
Pa_3_4780.G	2312659	2309118	1	1	SRR3197704	10
Pa_3_4790.G	2316452;2314497	2317667;2317690	2	2	SRR3197702;SRR3197710	25
Pa_3_4800.G	2321234;2321307;2321029	2318395;2318424;2318397	3	3	SRR3197710;SRR3197711;SRR6960217	10
Pa_3_4810.G	2323507	2324646	1	1	ERR2224050	1000
Pa_3_4830.G	2326858;2326816	2324858;2324835	2	2	ERR2224050;SRR3197710	75
Pa_3_4840.G	2328224;2328206;2328287;2328193;2328282	2327407;2327416;2327385;2327418;2327184	5	5	SRR6960210;SRR6960213;SRR6960216;SRR6960218;SRR6960219	25
Pa_3_4850.G	2328395;2328390;2328373;2328416;2328414;2328398;2328411;2328405;2328407;2328409	2329053;2329073;2329048;2329061;2329048;2329055;2329048;2329037;2329129;2329078	10	8	SRR3197700;SRR3197701;SRR6960212;SRR6960213;SRR6960215;SRR6960216;SRR6960218;SRR6960221;SRR6960222;SRR6960225	100
Pa_3_4860.G	NA	NA	NA	NA	NA	NA
Pa_3_4870.G	2336421	2333649	1	1	ERR2224050	500
Pa_3_4890.G	2339428	2336629	1	1	ERR2224050	25
Pa_3_4900.G	NA	NA	NA	NA	NA	NA
Pa_3_4910.G	2344416	2346720	1	1	SRR6960215	25
Pa_3_4920.G	2348234	2347035	1	1	ERR2224050	100
Pa_3_4930.G	NA	NA	NA	NA	NA	NA
Pa_3_4940.G	2352054	2350869	1	1	ERR2224048	50
Pa_3_4950.G	2352199	2353201	1	1	ERR2224050	250
Pa_3_4960.G	2355183;2355147	2353276;2353332	2	2	ERR2224046;SRR6960218	10
Pa_3_4970.G	NA	NA	NA	NA	NA	NA
Pa_3_4980.G	2359060	2358079	1	1	ERR2224050	1000
Pa_3_4990.G	2360111	2361459	1	1	SRR6960214	5000
Pa_3_5000.G	NA	NA	NA	NA	NA	NA
Pa_3_5010.G	2366449	2365786	1	1	ERR2224050	500
Pa_3_5020.G	2366607	2368625	1	1	SRR3197707	10
Pa_3_5030.G	NA	NA	NA	NA	NA	NA
Pa_3_5040.G	NA	NA	NA	NA	NA	NA
Pa_3_5050.G	2378799	2380165	1	1	SRR3197710	1000
Pa_3_5060.G	2380511	2382009	1	1	ERR2224050	500
Pa_3_5070.G	NA	NA	NA	NA	NA	NA
Pa_3_5080.G	2384223	2387563	1	1	SRR3197710	10
Pa_3_5100.G	NA	NA	NA	NA	NA	NA
Pa_3_5085.G	NA	NA	NA	NA	NA	NA
Pa_3_5110.G	2394729;2394337;2394716;2394337;2394337;2394337;2394637;2394674	2392933;2393010;2392991;2392935;2392991;2392991;2393039;2392991	5	5	ERR2224050;SRR3197700;SRR3197701;SRR3197704;SRR3197708;SRR3197709;SRR6960216;SRR6960218	1000
Pa_3_5113.G	NA	NA	NA	NA	NA	NA
Pa_3_5115.G	NA	NA	NA	NA	NA	NA
